director_id,genre,prob
17810,Romance,0,16666700000000001
17810,Short,0,16666700000000001
22104,Crime,0,30769200000000002
22104,Sci-Fi,3,8461500000000003E-2
22104,Music,7,6923099999999994E-2
22104,Thriller,0,42307699999999998
22104,Western,0,15384600000000001
22104,Comedy,0,19230800000000001
22104,Drama,0,769231
22104,Action,0,269231
22104,Romance,0,15384600000000001
22104,Mystery,3,8461500000000003E-2
22104,War,7,6923099999999994E-2
22104,Adventure,0,115385
24758,Horror,0,10000000000000001
24758,Documentary,0,10000000000000001
24758,Short,0,10000000000000001
24758,Music,0,40000000000000002
24758,Sci-Fi,0,10000000000000001
24758,Crime,0,29999999999999999
24758,Mystery,0,29999999999999999
24758,Drama,0,40000000000000002
24758,Action,0,10000000000000001
24758,Adventure,0,10000000000000001
24758,Romance,0,10000000000000001
24758,Thriller,0,5
28395,War,0,33333299999999999
28395,Drama,1
28395,Action,0,33333299999999999
35573,Fantasy,0,15384600000000001
35573,Family,0,15384600000000001
35573,Action,0,269231
35573,Sci-Fi,3,8461500000000003E-2
35573,Western,7,6923099999999994E-2
35573,Comedy,0,461538
35573,Adventure,0,15384600000000001
35573,Romance,7,6923099999999994E-2
35573,Thriller,0,15384600000000001
35573,Mystery,0,115385
35573,Drama,0,57692299999999996
35573,Short,7,6923099999999994E-2
35838,Romance,0,125
35838,Comedy,1
35838,Family,0,125
35838,Sci-Fi,0,125
35838,Drama,0,5
35838,Fantasy,0,125
37872,Fantasy,0,25
37872,Music,0,25
37872,Adventure,0,25
37872,Drama,0,25
37872,Comedy,1
37872,Family,0,75
37872,Animation,0,75
37872,Romance,0,5
37872,Short,0,5
38746,Short,0,33333299999999999
38746,Comedy,0,88888900000000004
38746,Adventure,0,222222
38746,Animation,0,77777799999999997
38746,Crime,0,111111
38746,Sci-Fi,0,111111
41975,Action,0,20000000000000001
41975,Horror,0,59999999999999998
41975,Mystery,0,20000000000000001
41975,Drama,0,59999999999999998
41975,Thriller,0,80000000000000004
41975,Short,0,20000000000000001
44291,Western,3,8461500000000003E-2
44291,Documentary,0,230769
44291,Family,7,6923099999999994E-2
44291,Sci-Fi,0,15384600000000001
44291,Musical,7,6923099999999994E-2
44291,Romance,0,15384600000000001
44291,Music,0,19230800000000001
44291,Fantasy,3,8461500000000003E-2
44291,Comedy,0,65384600000000004
44291,Drama,3,8461500000000003E-2
44291,Short,7,6923099999999994E-2
44291,Adventure,3,8461500000000003E-2
44291,Crime,3,8461500000000003E-2
44291,Horror,0,230769
44291,Action,0,115385
44291,Thriller,0,19230800000000001
46315,Comedy,1
46315,Short,0,375
46315,Animation,0,125
46315,Music,0,75
48115,Drama,0,17647099999999999
48115,Documentary,0,29411799999999999
48115,Short,0,58823499999999995
48115,Comedy,5,8823500000000001E-2
48115,Adventure,0,235294
48115,Fantasy,5,8823500000000001E-2
48115,Action,0,235294
48115,Sci-Fi,0,352941
56332,Sci-Fi,0,16666700000000001
56332,Romance,0,16666700000000001
56332,Animation,1
56332,Family,1
56332,Musical,0,5
56332,Adventure,0,5
56332,Action,0,16666700000000001
56332,Fantasy,0,33333299999999999
56332,Mystery,0,16666700000000001
56332,Comedy,0,66666700000000001
58201,Action,0,16666700000000001
58201,Mystery,0,33333299999999999
58201,Crime,0,5
58201,Drama,0,5
58201,Fantasy,0,16666700000000001
58201,Adventure,0,16666700000000001
58201,Thriller,0,66666700000000001
58201,Short,0,16666700000000001
65940,Comedy,0,64285700000000001
65940,Thriller,0,14285700000000001
65940,Adventure,0,14285700000000001
65940,Music,7,1428599999999995E-2
65940,Romance,0,42857099999999998
65940,Documentary,7,1428599999999995E-2
65940,Fantasy,7,1428599999999995E-2
65940,Drama,0,64285700000000001
65940,Family,0,14285700000000001
66849,Crime,0,71428599999999998
66849,Thriller,0,14285700000000001
66849,Music,0,14285700000000001
66849,Drama,0,14285700000000001
66849,Documentary,0,14285700000000001
66849,Short,0,42857099999999998
66849,Romance,0,14285700000000001
66849,Action,0,28571400000000002
66849,Comedy,0,57142899999999996
68161,Romance,0,20000000000000001
68161,Mystery,8,0000000000000002E-2
68161,Musical,0,16
68161,Drama,0,47999999999999998
68161,Family,4,0000000000000001E-2
68161,Music,4,0000000000000001E-2
68161,Comedy,0,59999999999999998
68161,Thriller,4,0000000000000001E-2
68161,Crime,8,0000000000000002E-2
74758,Romance,0,16666700000000001
74758,Documentary,5,5555599999999997E-2
74758,Action,5,5555599999999997E-2
74758,Drama,0,72222200000000003
74758,Short,5,5555599999999997E-2
74758,Comedy,0,33333299999999999
74758,Thriller,0,27777800000000002
74758,Crime,0,33333299999999999
74758,Sci-Fi,0,111111
74758,Music,5,5555599999999997E-2
76524,Music,5,0000000000000003E-2
76524,Crime,0,20000000000000001
76524,Action,0,20000000000000001
76524,Romance,5,0000000000000003E-2
76524,Thriller,0,20000000000000001
76524,Adventure,5,0000000000000003E-2
76524,Short,0,10000000000000001
76524,Drama,0,65000000000000002
76524,Documentary,0,14999999999999999
76524,Horror,0,10000000000000001
76524,Mystery,5,0000000000000003E-2
76524,War,0,25
78273,Romance,0,125
78273,War,0,125
78273,Action,0,5
78273,Thriller,0,5
78273,Mystery,0,125
78273,Crime,0,5
78273,Comedy,0,25
78273,Drama,0,75
82525,Comedy,4,3478299999999998E-2
82525,Action,0,17391300000000001
82525,Documentary,8,6956500000000006E-2
82525,Horror,4,3478299999999998E-2
82525,War,0,130435
82525,Mystery,4,3478299999999998E-2
82525,Short,0,26086999999999999
82525,Thriller,0,30434800000000001
82525,Adventure,8,6956500000000006E-2
82525,Drama,0,34782600000000002
82525,Sci-Fi,0,17391300000000001
82525,Romance,4,3478299999999998E-2
82525,Crime,8,6956500000000006E-2
83616,Crime,0,16666700000000001
83616,Thriller,0,83333299999999999
83616,Action,0,83333299999999999
83616,Animation,0,33333299999999999
83616,Sci-Fi,0,83333299999999999
83617,Animation,0,33333299999999999
83617,Crime,0,16666700000000001
83617,Thriller,0,83333299999999999
83617,Action,0,83333299999999999
83617,Sci-Fi,0,83333299999999999
director_id;genre;prob
429;Adventure;0,75
429;Music;0,25
429;Fantasy;0,75
429;Romance;0,5
429;Family;0,75
429;Comedy;0,75
429;Short;0,25
429;Animation;0,75
2931;Action;0,42857099999999998
2931;Horror;0,14285700000000001
2931;Sci-Fi;0,42857099999999998
2931;Adventure;0,14285700000000001
2931;Fantasy;0,28571400000000002
2931;Thriller;0,28571400000000002
2931;Crime;0,28571400000000002
2931;Comedy;0,14285700000000001
2931;Drama;0,71428599999999998
9247;Drama;1
9247;Adventure;0,5
9247;Comedy;1
11652;Romance;0,25
11652;Sci-Fi;0,5
11652;Documentary;0,25
11652;Action;0,5
11652;Drama;0,25
11652;Adventure;0,16666700000000001
11652;Fantasy;8,3333299999999999E-2
11652;Short;0,25
11652;Horror;0,16666700000000001
11652;Thriller;0,41666700000000001
11652;Comedy;8,3333299999999999E-2
11652;Family;8,3333299999999999E-2
14927;Musical;0,5
14927;Sci-Fi;0,16666700000000001
14927;Romance;0,16666700000000001
14927;Mystery;0,16666700000000001
14927;Fantasy;0,33333299999999999
14927;Comedy;0,66666700000000001
14927;Animation;1
14927;Action;0,16666700000000001
14927;Adventure;0,5
14927;Family;1
15092;Comedy;0,54545500000000002
15092;Crime;0,54545500000000002
15092;Fantasy;9,0909100000000007E-2
15092;Thriller;0,36363600000000001
15092;Adventure;9,0909100000000007E-2
15092;Romance;0,272727
15092;Drama;0,45454499999999998
15093;Adventure;8,3333299999999999E-2
15093;Romance;0,25
15093;Crime;0,5
15093;Fantasy;8,3333299999999999E-2
15093;Comedy;0,58333299999999999
15093;Mystery;8,3333299999999999E-2
15093;Drama;0,41666700000000001
15093;Thriller;0,41666700000000001
15901;Mystery;6,8965499999999999E-2
15901;Sci-Fi;0,137931
15901;Romance;0,103448
15901;Action;3,4482800000000001E-2
15901;Fantasy;3,4482800000000001E-2
15901;Musical;6,8965499999999999E-2
15901;Music;3,4482800000000001E-2
15901;Documentary;3,4482800000000001E-2
15901;Drama;0,68965500000000002
15901;Short;3,4482800000000001E-2
15901;Comedy;0,206897
15901;War;6,8965499999999999E-2
15901;Adventure;3,4482800000000001E-2
15901;Crime;0,24137900000000001
15901;Western;3,4482800000000001E-2
15901;Thriller;0,17241400000000001
15901;Family;3,4482800000000001E-2
15901;Horror;0,103448
15906;Short;0,25
15906;Mystery;0,25
15906;Comedy;0,25
15906;Drama;1
16816;Romance;0,83333299999999999
16816;Sci-Fi;0,16666700000000001
16816;Thriller;0,16666700000000001
16816;Comedy;0,66666700000000001
16816;Music;0,16666700000000001
16816;Mystery;0,16666700000000001
16816;Drama;1
17810;Fantasy;0,16666700000000001
17810;Sci-Fi;0,16666700000000001
17810;Horror;0,33333299999999999
17810;Drama;0,66666700000000001
17810;Thriller;0,16666700000000001
17810;Romance;0,16666700000000001
17810;Short;0,16666700000000001
22104;Crime;0,30769200000000002
22104;Sci-Fi;3,8461500000000003E-2
22104;Music;7,6923099999999994E-2
22104;Thriller;0,42307699999999998
22104;Western;0,15384600000000001
22104;Comedy;0,19230800000000001
22104;Drama;0,769231
22104;Action;0,269231
22104;Romance;0,15384600000000001
22104;Mystery;3,8461500000000003E-2
22104;War;7,6923099999999994E-2
22104;Adventure;0,115385
24758;Horror;0,10000000000000001
24758;Documentary;0,10000000000000001
24758;Short;0,10000000000000001
24758;Music;0,40000000000000002
24758;Sci-Fi;0,10000000000000001
24758;Crime;0,29999999999999999
24758;Mystery;0,29999999999999999
24758;Drama;0,40000000000000002
24758;Action;0,10000000000000001
24758;Adventure;0,10000000000000001
24758;Romance;0,10000000000000001
24758;Thriller;0,5
28395;War;0,33333299999999999
28395;Drama;1
28395;Action;0,33333299999999999
35573;Fantasy;0,15384600000000001
35573;Family;0,15384600000000001
35573;Action;0,269231
35573;Sci-Fi;3,8461500000000003E-2
35573;Western;7,6923099999999994E-2
35573;Comedy;0,461538
35573;Adventure;0,15384600000000001
35573;Romance;7,6923099999999994E-2
35573;Thriller;0,15384600000000001
35573;Mystery;0,115385
35573;Drama;0,57692299999999996
35573;Short;7,6923099999999994E-2
35838;Romance;0,125
35838;Comedy;1
35838;Family;0,125
35838;Sci-Fi;0,125
35838;Drama;0,5
35838;Fantasy;0,125
37872;Fantasy;0,25
37872;Music;0,25
37872;Adventure;0,25
37872;Drama;0,25
37872;Comedy;1
37872;Family;0,75
37872;Animation;0,75
37872;Romance;0,5
37872;Short;0,5
38746;Short;0,33333299999999999
38746;Comedy;0,88888900000000004
38746;Adventure;0,222222
38746;Animation;0,77777799999999997
38746;Crime;0,111111
38746;Sci-Fi;0,111111
41975;Action;0,20000000000000001
41975;Horror;0,59999999999999998
41975;Mystery;0,20000000000000001
41975;Drama;0,59999999999999998
41975;Thriller;0,80000000000000004
41975;Short;0,20000000000000001
44291;Western;3,8461500000000003E-2
44291;Documentary;0,230769
44291;Family;7,6923099999999994E-2
44291;Sci-Fi;0,15384600000000001
44291;Musical;7,6923099999999994E-2
44291;Romance;0,15384600000000001
44291;Music;0,19230800000000001
44291;Fantasy;3,8461500000000003E-2
44291;Comedy;0,65384600000000004
44291;Drama;3,8461500000000003E-2
44291;Short;7,6923099999999994E-2
44291;Adventure;3,8461500000000003E-2
44291;Crime;3,8461500000000003E-2
44291;Horror;0,230769
44291;Action;0,115385
44291;Thriller;0,19230800000000001
46315;Comedy;1
46315;Short;0,375
46315;Animation;0,125
46315;Music;0,75
48115;Drama;0,17647099999999999
48115;Documentary;0,29411799999999999
48115;Short;0,58823499999999995
48115;Comedy;5,8823500000000001E-2
48115;Adventure;0,235294
48115;Fantasy;5,8823500000000001E-2
48115;Action;0,235294
48115;Sci-Fi;0,352941
56332;Sci-Fi;0,16666700000000001
56332;Romance;0,16666700000000001
56332;Animation;1
56332;Family;1
56332;Musical;0,5
56332;Adventure;0,5
56332;Action;0,16666700000000001
56332;Fantasy;0,33333299999999999
56332;Mystery;0,16666700000000001
56332;Comedy;0,66666700000000001
58201;Action;0,16666700000000001
58201;Mystery;0,33333299999999999
58201;Crime;0,5
58201;Drama;0,5
58201;Fantasy;0,16666700000000001
58201;Adventure;0,16666700000000001
58201;Thriller;0,66666700000000001
58201;Short;0,16666700000000001
65940;Comedy;0,64285700000000001
65940;Thriller;0,14285700000000001
65940;Adventure;0,14285700000000001
65940;Music;7,1428599999999995E-2
65940;Romance;0,42857099999999998
65940;Documentary;7,1428599999999995E-2
65940;Fantasy;7,1428599999999995E-2
65940;Drama;0,64285700000000001
65940;Family;0,14285700000000001
66849;Crime;0,71428599999999998
66849;Thriller;0,14285700000000001
66849;Music;0,14285700000000001
66849;Drama;0,14285700000000001
66849;Documentary;0,14285700000000001
66849;Short;0,42857099999999998
66849;Romance;0,14285700000000001
66849;Action;0,28571400000000002
66849;Comedy;0,57142899999999996
68161;Romance;0,20000000000000001
68161;Mystery;8,0000000000000002E-2
68161;Musical;0,16
68161;Drama;0,47999999999999998
68161;Family;4,0000000000000001E-2
68161;Music;4,0000000000000001E-2
68161;Comedy;0,59999999999999998
68161;Thriller;4,0000000000000001E-2
68161;Crime;8,0000000000000002E-2
74758;Romance;0,16666700000000001
74758;Documentary;5,5555599999999997E-2
74758;Action;5,5555599999999997E-2
74758;Drama;0,72222200000000003
74758;Short;5,5555599999999997E-2
74758;Comedy;0,33333299999999999
74758;Thriller;0,27777800000000002
74758;Crime;0,33333299999999999
74758;Sci-Fi;0,111111
74758;Music;5,5555599999999997E-2
76524;Music;5,0000000000000003E-2
76524;Crime;0,20000000000000001
76524;Action;0,20000000000000001
76524;Romance;5,0000000000000003E-2
76524;Thriller;0,20000000000000001
76524;Adventure;5,0000000000000003E-2
76524;Short;0,10000000000000001
76524;Drama;0,65000000000000002
76524;Documentary;0,14999999999999999
76524;Horror;0,10000000000000001
76524;Mystery;5,0000000000000003E-2
76524;War;0,25
78273;Romance;0,125
78273;War;0,125
78273;Action;0,5
78273;Thriller;0,5
78273;Mystery;0,125
78273;Crime;0,5
78273;Comedy;0,25
78273;Drama;0,75
82525;Comedy;4,3478299999999998E-2
82525;Action;0,17391300000000001
82525;Documentary;8,6956500000000006E-2
82525;Horror;4,3478299999999998E-2
82525;War;0,130435
82525;Mystery;4,3478299999999998E-2
82525;Short;0,26086999999999999
82525;Thriller;0,30434800000000001
82525;Adventure;8,6956500000000006E-2
82525;Drama;0,34782600000000002
82525;Sci-Fi;0,17391300000000001
82525;Romance;4,3478299999999998E-2
82525;Crime;8,6956500000000006E-2
83616;Crime;0,16666700000000001
83616;Thriller;0,83333299999999999
83616;Action;0,83333299999999999
83616;Animation;0,33333299999999999
83616;Sci-Fi;0,83333299999999999
83617;Animation;0,33333299999999999
83617;Crime;0,16666700000000001
83617;Thriller;0,83333299999999999
83617;Action;0,83333299999999999
83617;Sci-Fi;0,83333299999999999
